Sentence,Alternative1,Alternative2,Alternative3,Best_Alternative
John started to cry in the middle of the street and people started staring and pointing.,j o hnztarde dtocryin them  itdle o ft hezdl ee dan tbeoplesdart  e dsdaringandp oimt ing,j ohnlo okedinto jezz icaz eyesa n dhea lmost tlownimd hem agaim,,Alternative1
Why's this so small?,wh yi zitrige th at whyzdh issosm ,, alr,Alternative1
That's just the thing I had in mind!,h atsju st thethimg ih atin nimt  guezz wha ts onmy nind,d ,,Alternative1
"Lorenzo sat in the car for a good half hour, talking on the phone.",lo renso sad inthe ca rforakoo tha  lfho,rorens okotp acgto hi z sead,ur tal   k ingondhebhone,Alternative1
People used to have LAN parties for multiplayer gaming before the widespread availability of high-speed Internet access.,peopl euse dtohaverampaldiesvor nurdiplayel gam in g befoled he wi dezpleatafai labilid yofhighsbeedim t e rned accezs  a lke liahazalap,efen viteoka nen achineso wnedby no sdchi rdren  todayarecompuders,idrygrowimgpobulati om,Alternative1
"For God's sake, what happened?",thishappen ink volgodz sak ew hadhabp e,whato nea r,net,Alternative1
I just don't feel that way about her.,ijusd domt v eel that wayap ou d,ididn tfee lli keca rl imgher,her  h eju,Alternative1
I have nothing more important to say.,him kmoleimp ordandt osay,ih av e not,no mo leca nbesa id,Alternative1
He was cast as Hamlet.,hewa zcas t asham led,hewadche ta swedishn o fie,nennat wa samam  asingrolemo tel,Alternative1
Have you asked Tom and Mary why they didn't do that?,h af eyoua sked domand marywhyt h ey  d it n ttothat,aleyo upramn  in ktod e  rltomant mar ywhyy o uwantthe ndo  tothat,,Alternative1
Tom said that he didn't mind doing that at all.,toms ait th athe di tmd nin dtoimg  dhatatal  l,do nz  aidd h athewazfelyh e zit amddod odhad,,Alternative1
She pricked herself with a needle while embroidering.,shebric ged hers elvw ithameedl ewhi leenb loide  ring,ma rypur ledou therknit dinkme etles,,Alternative1
How large are they?,how lalkear edh ey  w hadisth ewitt ho vdh i ,howp i gisyourva nil y,ssdreet,Alternative2
French is spoken in France.,e a llsbeakv remch flenchi zspokem im vl ance,w,weto ndsp ea kvlemch,Alternative3
My parents never punished me for anything I did.,m y parendsnever b un izhed me folanythim g idid,,ny m odhelneverpumishe sm e,Alternative1
We expect sales to rise this quarter.,e xpecdsal est ori ze  thisquartel  irrw a itumdilf o uroclock,we,,Alternative1
"If Tom and Mary don't want me to do that, I won't.",ivtom a nd nary t ont  wandne tod othati   w ont,doma m dmaryimsisteddh ey  wourd mdtodhat ,,Alternative1
I think that Tom is unprejudiced.,ith ingthat do miz unplejud iced,id hink th attonw oultbe u nvazed  bythat,i dh in ktomwouldbeastoniz h ed,Alternative1
Tom has a good chance of getting elected.,t onhazpl entyovop t ioms do nh asagoo t cha mce ovgetdin,,ge lectet,Alternative1
Mary wasn't the first one who said she wanted to do that.,ma lywas m tt  hefi rstonewho saitshe wan d edto   tothat,iwast heomewh o to ldma  rydhat s  hes houldn tdothat,,Alternative1
I don't want to drink anything.,i dond wan ttodrink anyth img,notha ngz iton tdlin g,iwomddring t hat ,Alternative1
Mary told Tom that she had to go.,m aly told  domthat zh eha dtoko,,mal ysai dsh eheardt  omzaydh at,Alternative3
I didn't go with Tom.,id it nt  kowithton  itidn tkive domc h,itit nt h aveto  kowidhtom ,oice,Alternative2
Powerlifting makes me feel like a super hero in my everyday life.,w erliftin   gmagesm efeerr  i geaz uperheroi mmyeverytaylife  your lovekafe net hestlen g dh dogoon,p o,,Alternative1
You make me feel uncomfortable.,youmagem efee lumco mf ortable,amina kimg you f eelawg wald,iveltkind ofi nd inidat ed,Alternative1
I hope that Tom understands how grateful I am.,ih obedhatdo mu nd elstands  ho wk rat,iwa ntdomtou mte rzta n dthat,efuriam,Alternative1
There is a shared knowledge.,ereisaz haletkno wl edg e  i,dh,kn owdhat youh aveid,Alternative1
This is the essence of Islam.,islanof ferst hedru dh t hi si stheezzen ceofi ,,sram,Alternative1
There are a lot of people here today.,t h erear eal otof  beopl  eheretoday,,mowa days many pe opletlave lbycar,Alternative1
"""The Invisible Guest"" is called ""L'Accusé"" in French.",thei nviziblek uez ti sc al  red laccusé imfrench, ri be rdyequalidy fraternityisafrenchmo tt o,,Alternative1
Tom will follow my advice.,tonwillf orl ow my advice,i fe advi zetto mtot odhat,tona dfised m etogoth el e,Alternative2
He is busy correcting test papers.,hei sbusy co lrecd inktestpa pels,het urne tin  aplangte st baper,nen madwasle fisin gvorh is exams,Alternative3
It's a matter of the utmost importance.,t hi sisanimport ant madder itsamadte lofdheud m ozt,,impo r tance ,Alternative1
Tom didn't want to believe the rumor about Mary and John.,ar maryandjohmwhi zpeling tom titnt wamdtobel i evedher unol abou t ma  lyandjohn,onp re tende d noddohe,to man tna lysai dthe yd idntt hin kj ohndidthat,Alternative3
She stopped to catch her breath.,e ddocatc hhe rblea th,shesto pp,itbecaneincr ea singryhardto   bleathe,Alternative3
We can never thank Tom enough.,we c an neve r thamktonenough,w ec ourtndzto ptom,w elespe ctt omalo t,Alternative1
I don't think Tom and Mary like to swim.,zwi mmi mkto gedher i tom t t hinkdomamdmaryli ket os w in,dnary go,i tom dth ingtomand nar ykno  wthat i  don drikethen,Alternative3
Tom hasn't unpacked yet.,t omhasn tunpa ckedyet,don iz ntdoingdhatr ikh tm ow,domtit ntob e nt heenverope,Alternative1
I can't believe you told him that.,n t berievey out or dhindhat  zhesa idshecou rdmtbe lievei t,ic a,,Alternative1
I can't help you because I'm too busy.,ic am dhelp yoube c ausei mdo obusy  icandtodh a twit hou the ,inzor ry icou ltntherbt h em,lp,Alternative2
Our teacher is a martial arts expert.,eachelizanaldia  lalt sexpe rt  im currentl yat eac heradt hi,ou r t,sschoor,Alternative1
Ziri has got time.,z i rihaz  goddine,,ziliis l ea tydogo ,Alternative1
Tom said he'd call me right back.,zai the tcall merig htback,t o m,t om za id thathe dca rl pac kaszoona s hecould,Alternative1
Sami had only one option: kill or die.,zam ih adonly one optio mk illo ldie,zamiende dubd e ad,z a miwazhavin gazhit ,Alternative1
That isn't what they're after.,thatis ntw had theyrea vter,i tisn d thata tall,th atznotactua rlywh adhapbe ned,Alternative3
Anyone can run for class president.,y onecanrunfor classb l esidem t,an,it roo kedl ige noo  necou ltstoppresitemdrea kam,Alternative1
I didn't see anyone skating.,noon eha ssee ny ou i didndseeamyones,, ka dimk ,Alternative1
The gathering has been cancelled because of rain.,dhe gatherink hazb eencam celret pecauze ofla in,dhe ri ve lswe reflo odedpyd heh eavyrain,itb ein kra imyi cou l dnotg ooud,Alternative1
Trans ideology is becoming a religion.,zit e ology isbec omimgareligiom  s heis amus limco nfelt,tr an,,Alternative1
Maybe Mary doesn't know what she did was wrong.,may benarytoesm t knowwhads  hedidw  as wlomk  maryi sn t sur ehowsh egothel e,nay bedomdoesn dkm o wtha  tmaryw as th e onewhotidthat ,,Alternative2
The catechist studied.,techistztu died  thez dutentsstud ied i mpairs,theca ,,Alternative2
I know nothing about mathematics.,kno wev erydhimg the leisd o kmow ab outthad ikn ownodhimg about ,ikm owidomt,mathemat ics,Alternative3
He looked like he was going to cry.,h erooke dlik  ehewa sgoingto cly ,heloo ke dligehe wasgoi m gtos tartcr y  ingagain,yo uco  uldseehew  azamgry,Alternative1
I'll see you at the library tomorrow.,lzeeyoua tthelibr a ryd o norrow  o gi r lzeeyoutomor row,i l,,Alternative1
Could you tell me the way to the zoo?,icev ron hi okapark c our dyou t ell m e th,howtoi gedto yo ul ovv,ewaydothes oo,Alternative1
I am massaging my foot.,am mas sagin kmyvoo d  iamri mpi ng arong,i,,Alternative1
Tom and I went to high school together., ma ndiwen dtohikh zch oolt ogether  tonan di ha veprokenu b,t o,,Alternative1
All the children loved and adored Tom.,allthe chi ld renlofedamta d oredt on,,d omrof ezhim,Alternative1
Did you bring me what you said you would?,whyd ityo ude llne tidyo up limg mewhat yousa idy ouw  ourd,,d idyo uwl itetowne ve rydhi mg itordyou,Alternative3
I just called to say 'I love you'.,ig noww h adtoz ay iju stdond knowhow tosayit i ju s tcar reddoza yil ove,, you,Alternative3
You've got to stay here until we get back.,u  vekodd o sday h ereunt ilwekedpa ck  w ezho urdgeto ud ofher,yo,el ightaw ay,Alternative1
Is this your picture?,isdh isyo urbictu re,aredhe seyoul s,a reyo uim ond his,Alternative1
I used to respect Tom.,we lesp ect tona lot iuse dtore s pec tt,,om,Alternative1
He was filled with wonder.,hewa sfill  etw ithwomtel  d hadsurprized ,iw as fascina de twithhin,her,Alternative2
She doesn't love anyone except herself.,ne zh edoe sndlof eanyonee,shes nolonge laro,x  cepdhelserf,Alternative1
He was DJing alongside me.,ovo rrowhim he wasdjinkalo n,hemot ioned met, kz iteme,Alternative1
I didn't think about that.,bo utthisatarr idi dm tthin gabout thad,imn o tz urea,hey iarr eatyth ou ghtofth ad,Alternative3
When was the last time that you ate out?,th e l astti met hatyo  uateout  whe nw azdh ela stdim e,whenwas ,yous l ebtinat emt,Alternative1
I did not tell him what you had written in this letter.,i sretdel i ti dmot delrhimwh aty o uhatw r itteni ndh  isredder,m oon et ord n ewhattheywlot eimdh,iw l ode that forhim,Alternative1
He has the election under his belt.,heer ec dionu nde lhis belt  hei s en kaged inamoc,heha st,cupa tio mofhisown choice,Alternative3
Sami wanted to start his own business.,ablay samiwamte ttoztard hi sown puzi n ess,opeapal t o f,sami u settoc udhims elv,Alternative1
Sami is already working on an appeal.,za miis alrea tywor kin gonan appeal,s aniis worki nko nit,zamiar rivedatw olk ,Alternative1
The sled accelerated as it went down the icy slope.,a vr agmemdofi ce vloat edby the zletacce lelate dasitwe mt down d  h,,eicysrop e,Alternative1
"Now you are sixteen, you should know better.", de r nowy oual ezi xtee nyo uzhour tgmo wbedter,yo uzhoultknowpet,youreplobabl yt ooyoung t ound ersdandth is,Alternative3
Felix usually leaves at five.,usuar ly lea vesatvi fe,velix,verix wenddo wnin tot  hadpazem  enta lrpyhinzerv,Alternative1
The meeting won't be taking place.,dhe needi mgwont pe tak img place,,isukgezdett heme e timk z houl dbepostponed,Alternative1
She hid her weapons.,l mz shehid he rweabo mz,a,sh esaidthat z h eh adakmi ve,Alternative1
I need to know exactly what happened here yesterday.,whathap p ened  hereye  zterday  idid mtkm oww hatw az koinktoh appen,ine edtoknowexactry ,,Alternative1
Sami skipped his biology test.,k ibbedhizp iologytezt  za mifi lretdhepa perworgo ud,s am is,,Alternative1
I'll call the police.,lc alr thepolic e  i tid n’tw am d tocallthepo,ir,rice,Alternative3
I just lay there.,ij u sd raydhere,iaml i npin garong,iveonlyju sd be kun,Alternative2
Don't be so picky.,don  tbesopic ky  t,don tbeapu s zy,om,Alternative1
Mary is dead because of your irresponsibility.,naryisdeatb ecaus  eovyourirr espo  nzipility,to m blamesnaryf ordezdroyi mghisli feinlea ri tyhedes  tr  oyedithinze lf,maryknowzy ou di dnd ead t heca ges heba kedf oryou,Alternative1
Now I feel so stupid.,ea llyco nvuzedrik hdmow n owife ers oztup it,i nr,im sos icg of dhis,Alternative3
Tom got expelled from school for fighting., dfromscho orv olfigh tink  tomw,dom k otexpelre,emdto muzic schoo r,Alternative1
"After opening, please eat as soon as possible.",hin kdoeat a fte rope n imgple azeeadasz,no wd ha tyouvec a rnetdownle dsgogra bzomet,  oonaspossible,Alternative2
He is engaged in an occupation of his own choice.,the el ectiomun derh i sbelt heiseng age dinam o ccupat io n of hiso,hehas,wmchoi ce,Alternative1
Movies are scripted. Real life is not.,mof ie sares cribdet re alliv e isnot,,fi cdi omisob rikeddost icg topozsibilid iestruthi s mt,Alternative1
Tom isn't likely to be desperate.,tomiz nt ligeryto b edes per ate,,i hob eto nismdpl oge,Alternative1
Tom lent all the money he had on him to me.,atem om eyh antofel fizt t omle  mtalldh em  oneyhe ha  dom hintome,domm,t ongaveme a sh ove,Alternative1
Tom has a pile of textbooks on his desk.,do nhas a bireo  vde x tboo ksomhis desg,,tomp oumt edh i  sfis donhisdesk,Alternative1
I'd like to be more than just friends.,moredh anjuzdf ri en dz  idra thellife alo ne,i dlike top e,,Alternative1
She's famous as a singer but not as a poet.,sh es famousas as  in gelbu tnot azabo  ed,z hei sndv erydal ended isshe,,Alternative1
Tom and Mary keep their uniforms clean.,to nand m a rykeeb thei lunifolmsclean  tomantma ryl olletupd heir sle e,to mandnary jus tg otth eirbl a cesofv,ves,Alternative2
Adriano practised Islam.,at liamo pracdisedizla  m,ziricomver ted doi s ramvr omsh eeladmiradion,,Alternative1
Is fast food causing an obesity epidemic? More about that after this McDonald's commercial.,i sfasdvoot cauzi mkan op esidyep idemicmoleab oudtha ta  ftert,ope s idy iz zuch abi gizsuerik htnow,h izncdona ld scommerciar,Alternative1
You must cherish your freedoms.,youmusd cherishyourvr eet   om s,yo urv re etonztopswheremyv l eedompeg inz,,Alternative1
Ziri didn't mind.,zil iditmtmi  n d,ziridoez mtb lay,,Alternative1
Mary kept on flirting with him.,ebdomfri lting  withhim  maryzdrai ne dhe rpack,na ly g,,Alternative1
Ziri always wore a tuxedo.,ays wolea tuxedo,si rial w,zirimevermiss es ,Alternative3
Mennad isn't taking any medicine.,menmati sn tta kimgamynetici m  e,nem nadizmot exen pt,,Alternative1
"You need answers, don't you?",you meeta nswers don tyou  that isdheques t,youmuzt answe rthes equezdio nz,iony o une eddoask yo urselvez,Alternative3
I'm hoping you'll agree to do that.,i mh opimg y oulrak reedo dothat  i m veryhappy y ouf,iwan dy  outopr   omizenet hady oulltot hat,eagreettot ot hat,Alternative2
Tom knew Mary couldn't speak French.,marycourdmtsbe a kfrench ,t om gnew,tom i zmdsurethadm aryc anu n delstantfr ench,Alternative3
I'm going to organize a party.,ing tool g anizeapalty  it lig,i n go,etoma geamappoin tnen t,Alternative1
Tom and Mary have made a startling discovery.,donam dnalyha ve made a stald rimkd i scovery,,tonam dma ryjus d gotdheilp rac ez off,Alternative1
The guys standing over there are Tom and John.,thegu yzsta ndi nk ove rthe l ear etomandjohn,do man d jo hmhit eachodher,d o mantjohn zhar ea room,Alternative1
Sami was searching for his twins.,zaniwas s ealchi n gfor h isdwimz,,s a mihasbee nseeingan othe rgirl,Alternative3
He's at the post office sending a package to a friend.,hesa td hepo sto v f ice semtinga bacgag e doafliemd,it ookh inv olmy close  frient,the re saretdelind he ma ilpo xvol you,Alternative1
All I know is that I know nothing.,ar rik no wisth  atig no wnothimg,ignow i domt kmowefe ryth ingth eleis tokmo  wa b outdhad,idon tg no wyoudo n tgn owany dhingto you,Alternative1
Tom has broken both his arms.,mh asbl okembot hh isarms  don ha dah am me,do ,r inhishand,Alternative1
Questions have begun to surface about your involvement in the scandal.,quezti onsh af ebegum dosur f aceaboudyourinvolvem  endindhes canta l  zhet id ,fati lstarteddo b ragabou thisr obb eriez,nod,Alternative1
I thought that Tom wasn't absent.,id h oughttonwasn tawag e it houghtt hatt omw,,as ndabse nt,Alternative1
We discussed the matter.,wedi scuszett h  enatd el,we weretalk in g apoutthis,,Alternative1
Throat and nose membranes hurt by dry air allow cold viruses to enter more easily. It is important to carry out sensible counter plans against the cold with heaters and against the dryness with humidifiers.,t hloadan dm ozememblan esh urd bydlya ir  allow cortf i r  uz est oender nol eeasiryidisimpordanddocar  lyoudse ns ipreco unte rpla nsa ga ins tth ecoltwi thheat ersantaga inzddh et rynessw idhhumidifiers,,ihobeth at id ontca  tch ac old,Alternative1
We took advantage of the sunny weather to go on a picnic.,wed ooka d fantage ofdh esun ny we   adhe ltokoonabicnic,we aban tome tt he pl  antogoon apicmic,werove k oingo npic mics,Alternative1
I think that Tom may not be able to do that for us.,i thinkd ha  ddom mayno db eab  le tot othatf oruz,idom td  himk toni zk oimgdo bea bl edo do that,,Alternative1
Everybody's doing that.,eferybodyz doing dhad  notefe rybodyligezdoi ngd hi s,everyo neizdoi nkdha t,,Alternative2
Do you still want this?, youwamd t his d oyo uzti rlwa mtthis,domd,yo udom tw antdhis d oyou,Alternative3
